Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
BANK,JH291,BMO GLOBAL BANKS HEDGED TO CAD INDEX ETF,535700,20.81849,0.3602,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
ATHENE HOLDING LTD,ATH US,34,58.45,137,BZ13MZ1
AMERISOURCEBERGEN CORP,ABC US,49,110.50,196,2795393
BUNGE LTD,BG US,77,88.76,308,2788713
SCANA CORP,SCG US,65,52.40,260,2545844
ARROW ELECTRONICS INC,ARW US,28,98.30,111,2051404
OWENS CORNING,OC US,54,77.85,216,B1FW7Q2
NEWELL BRANDS INC,NWL US,139,33.75,558,2635701
LOEWS CORP,L US,60,65.02,241,2523022
AGCO CORP,AGCO US,72,77.52,288,2010278
MICHAEL KORS HLDGS LTD,KORS US,82,89.05,327,B7341C6
PRUDENTIAL FINANCIAL INC,PRU US,140,126.41,561,2819118
QORVO INC,QRVO US,39,105.91,155,BR9YYP4
STEEL DYNAMICS INC,STLD US,55,64.66,222,2849472
DISCOVERY INC,DISCA US,76,33.72,306,B3D7K31
CVS HEALTH CORP,CVS US,364,86.02,1460,2577609
ANNALY CAPITAL MANAGEMENT INC,NLY US,345,13.67,1382,2113456
BORGWARNER INC,BWA US,100,57.38,401,2111955
BANK OF AMERICA CORPORATION,BAC US,1940,40.50,7779,2295677
QUALCOMM INC,QCOM US,285,77.46,1144,2714923
CAPITAL ONE FINANCIAL CORP,COF US,151,128.95,604,2654461
CUMMINS INC,CMI US,93,177.04,371,2240202
CIGNA CORP,CI US,69,231.38,278,2196479
VOYA FINANCIAL,VOYA US,57,65.39,229,BKWQ2N2
SPIRIT AEROSYSTEMS HOLDINGS INC,SPR US,33,117.67,134,B1HMMS7
STERICYCLE INC,SRCL US,20,90.94,81,2860826
NETAPP INC,NTAP US,70,106.14,282,2630643
AXIS CAPITAL HOLDINGS LTD,AXS US,16,75.06,65,2677606
VISTRA ENERGY CORP,VST US,80,29.08,321,BZ8VJQ8
GAP INC,GPS US,157,39.20,629,2360326
GENERAL MOTORS CO,GM US,1569,49.08,6292,B665KZ5
NATIONAL RETAIL PROPERTIES INC,NNN US,84,58.39,338,2211811
MACYS INC,M US,270,52.36,1081,2345022
AMERICAN AIRLINES GROUP,AAL US,181,49.78,725,BCV7KT2
CITIGROUP INC,C US,722,93.49,2897,2297907
FEDEX CORP,FDX US,96,313.16,384,2142784
VALERO ENERGY CORP,VLO US,175,142.52,701,2041364
KRAFT HEINZ CO,KHC US,120,78.00,482,BYRY499
MANPOWERGROUP INC,MAN US,36,121.10,143,2562490
TARGET CORP,TGT US,279,104.27,1119,2259101
ALLERGAN PLC,AGN US,157,230.51,631,BY9D546
FLEX LTD,FLEX US,174,19.54,699,2353058
AT&T INC,T US,895,39.43,3587,2831811
ARCHER DANIELS MIDLAND CO,ADM US,279,61.58,1118,2047317
MCKESSON CORP,MCK US,72,173.83,290,2378534
NORFOLK SOUTHERN CORP,NSC US,188,219.47,753,2641894
PFIZER INC,PFE US,1602,49.52,6425,2684703
COTY INC,COTY US,125,17.57,502,BBBSMJ2
MOSAIC CO,MOS US,135,38.26,542,B3NPHP6
CHEVRON CORP,CVX US,439,162.81,1761,2838555
TOLL BROTHERS INC,TOL US,43,45.59,174,2896092
JUNIPER NETWORKS INC,JNPR US,113,36.76,453,2431846
ALLY FINANCIAL INC,ALLY US,157,36.45,628,B72XK05
JONES LANG LASALLE INC,JLL US,24,220.55,97,2040640
MARATHON PETROLEUM CORP,MPC US,150,97.40,603,B3K3L40
WALMART INC,WMT US,476,114.58,1908,2936921
WHIRLPOOL CORP,WHR US,40,161.91,161,2960384
WESTROCK CO,WRK US,85,74.60,340,BYR0914
AFLAC INC,AFL US,121,57.07,485,2026361
JACOBS ENGINEERING GROUP INC,JEC US,148,87.47,593,2469052
ALLIANCE DATA SYSTEMS CORP,ADS US,10,307.90,40,2762030
ON SEMICONDUCTOR CORP,ON US,59,30.37,238,2583576
AVNET INC,AVT US,32,56.73,129,2066505
MYLAN INC,MYL US,234,47.68,937,BVFMFG8
LINCOLN NATIONAL CORP,LNC US,72,86.03,290,2516378
DXC TECHNOLOGY,DXC US,78,115.03,312,BYXD7B3
INTERNATIONAL BUSINESS MACHINES CORP,IBM US,170,191.13,680,2005973
DAVITA INC,DVA US,31,90.57,126,2898087
AGNC INVESTMENT,AGNC US,133,25.09,533,BYYHJL8
EASTMAN CHEMICAL CO,EMN US,39,132.58,157,2298386
CIT GROUP INC,CIT US,31,69.10,124,B4Z73G0
LENNAR CORP,LEN US,73,66.94,293,2511920
NEWFIELD EXPLORATION CO,NFX US,40,36.64,159,2635079
PLAINS GP HOLDINGS LP,PAGP US,36,31.44,144,BDGHN95
GILEAD SCIENCES INC,GILD US,517,102.88,2072,2369174
RALPH LAUREN CORP,RL US,24,178.81,98,B4V9661
PG&E CORP,PCG US,235,56.04,941,2689560
HOLLYFRONTIER CORP,HFC US,52,93.92,209,B5VX1H6
KINDER MORGAN INC,KMI US,347,23.33,1392,B3NQ4P8
NEWS CORP,NWSA US,315,19.77,1263,BBGVT40
ANTHEM INC,ANTM US,72,323.19,288,BSPHGL4
UNUM GROUP,UNM US,53,49.50,212,2433842

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZWA,JH247,BMO COVERED CALL DOW JONES INDUSTRIAL AVERAGE HEDGED TO CAD ETF,13161000,23.32429,0.42849,0,1.30355,0.65,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
TRAVELERS COMPANIES INC,TRV US,471,164.61,61943,2769503
MRK US 07/27/18 C65.5,MRK US 07/27/18 C65.5,-3,0.40,-350,
CAT US 08/10/18 C148,CAT US 08/10/18 C148,-3,1.66,-350,
PFE US 07/27/18 C37.5,PFE US 07/27/18 C37.5,-3,0.68,-350,
VISA INC,V US,471,185.94,61943,B2PZN04
DOWDUPONT INC,DWDP US,471,88.03,61943,BYP66M4
DWDP US 08/17/18 C70.5,DWDP US 08/17/18 C70.5,-3,0.60,-350,
WALGREENS BOOTS ALLIANCE INC,WBA US,471,86.95,61943,BTN1Y44
3M CO,MMM US,471,266.42,61943,2595708
HD US 08/24/18 C212.5,HD US 08/24/18 C212.5,-3,1.13,-350,
NIKE INC,NKE US,471,100.58,61943,2640147
GS US 07/27/18 C237.5,GS US 07/27/18 C237.5,-3,1.11,-350,
CVX US 08/10/18 C132,CVX US 08/10/18 C132,-3,0.42,-350,
AAPL US 07/27/18 C195,AAPL US 07/27/18 C195,-3,1.04,-350,
UNH US 07/27/18 C257.5,UNH US 07/27/18 C257.5,-3,0.52,-350,
CATERPILLAR INC,CAT US,471,183.12,61943,2180201
JPM US 08/10/18 C110,JPM US 08/10/18 C110,-3,7.29,-350,
MERCK & CO INC,MRK US,471,84.07,61943,2778844
XOM US 07/27/18 C86.5,XOM US 07/27/18 C86.5,-3,0.12,-350,
WALT DISNEY CO,DIS US,471,144.93,61943,2270726
NKE US 07/27/18 C80.5,NKE US 07/27/18 C80.5,-3,0.05,-350,
VERIZON COMMUNICATIONS INC,VZ US,471,66.36,61943,2090571
BOEING CO,BA US,471,463.96,61943,2108601
MCDONALD'S CORP,MCD US,471,207.12,61943,2550707
PROCTER & GAMBLE CO,PG US,471,103.59,61943,2704407
INTEL CORP,INTC US,471,68.35,61943,2463247
UNITED TECHNOLOGIES CORP,UTX US,471,175.65,61943,2915500
AMERICAN EXPRESS CO,AXP US,471,133.78,61943,2026082
BA US 07/27/18 C390,BA US 07/27/18 C390,-3,0.01,-350,
COCA-COLA CO,KO US,471,60.08,61943,2206657
UTX US 08/17/18 C135,UTX US 08/17/18 C135,-3,2.72,-350,
UNITEDHEALTH GROUP INC,UNH US,471,332.22,61943,2917766
WMT US 08/17/18 C92.5,WMT US 08/17/18 C92.5,-3,0.43,-350,
PFIZER INC,PFE US,471,49.52,61943,2684703
DIS US 08/17/18 C120,DIS US 08/17/18 C120,-3,0.39,-350,
CHEVRON CORP,CVX US,471,162.81,61943,2838555
HOME DEPOT INC,HD US,471,262.01,61943,2434209
JPMORGAN CHASE & CO,JPM US,471,150.14,61943,2190385
MCD US 08/24/18 C167.5,MCD US 08/24/18 C167.5,-3,1.23,-350,
WALMART INC,WMT US,471,114.58,61943,2936921
TRV US 08/17/18 C130,TRV US 08/17/18 C130,-3,0.83,-350,
KO US 08/17/18 C47,KO US 08/17/18 C47,-3,0.23,-350,
MMM US 07/27/18 C210,MMM US 07/27/18 C210,-3,0.17,-350,
CISCO SYSTEMS INC,CSCO US,471,56.26,61943,2198163
VZ US 08/10/18 C54,VZ US 08/10/18 C54,-3,0.04,-350,
GOLDMAN SACHS GROUP INC,GS US,471,308.54,61943,2407966
INTERNATIONAL BUSINESS MACHINES CORP,IBM US,471,191.13,61943,2005973
EXXON MOBIL CORPORATION,XOM US,471,108.96,61943,2326618
JNJ US 08/24/18 C131,JNJ US 08/24/18 C131,-3,1.33,-350,
IBM US 08/17/18 C155,IBM US 08/17/18 C155,-3,0.16,-350,
CSCO US 08/17/18 C46,CSCO US 08/17/18 C46,-3,0.21,-350,
PG US 08/17/18 C82.5,PG US 08/17/18 C82.5,-3,0.53,-350,
MICROSOFT CORP,MSFT US,471,144.47,61943,2588173
MSFT US 07/27/18 C104,MSFT US 07/27/18 C104,-3,8.93,-350,
V US 07/27/18 C139,V US 07/27/18 C139,-3,5.87,-350,
AXP US 08/24/18 C106,AXP US 08/24/18 C106,-3,0.48,-350,
APPLE INC,AAPL US,471,253.96,61943,2046251
JOHNSON & JOHNSON,JNJ US,471,167.66,61943,2475833
INTC US 08/17/18 C57,INTC US 08/17/18 C57,-3,0.22,-350,
WBA US 08/17/18 C72.5,WBA US 08/17/18 C72.5,-3,0.14,-350,

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
CAD,294913676.85,97.87013826525564954659763792,1.00000,20180208
USD,-223178600,-96.53738924895409533846609829,1.30343,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZWB,JH245,BMO COVERED CALL CANADIAN BANKS ETF,96600000,19.3945,0.09439,0,1.30355,0.65,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
CM CN 08/17/18 C118,CM CN 08/17/18 C118,-3,0.66,-2800,
ZEB CN 09/21/18 C30.25,ZEB CN 09/21/18 C30.25,-21,0.15,-20000,
NA CN 08/08/18 C65,NA CN 08/08/18 C65,-4,0.36,-3500,
BNS CN 09/21/18 C78,BNS CN 09/21/18 C78,-4,0.76,-3800,
1NA CN 08/03/18 C65.5,1NA CN 08/03/18 C65.5,-4,0.09,-4000,
BMO CN 08/17/18 C105,BMO CN 08/17/18 C105,-4,0.20,-3400,
BNS CN 08/08/18 C76,BNS CN 08/08/18 C76,-4,0.59,-4000,
RY CN 09/21/18 C104,RY CN 09/21/18 C104,-4,0.56,-3500,
1ZEB CN 08/03/18 C30,1ZEB CN 08/03/18 C30,-21,0.14,-20000,
BMO CN 09/21/18 C107,BMO CN 09/21/18 C107,-3,0.37,-3200,
2ZEB CN 08/10/18 C29.75,2ZEB CN 08/10/18 C29.75,-21,0.19,-20000,
BMO EQUAL WEIGHT BANKS INDEX ETF,ZEB,26388,29.66,25490908,BF3FX85
CANADIAN IMPERIAL BANK OF COMMERCE,CM,1623,117.32,1567885,2170525
BNS CN 08/17/18 C78,BNS CN 08/17/18 C78,-4,0.16,-4000,
CM CN 09/21/18 C120,CM CN 09/21/18 C120,-3,0.91,-2600,
TD CN 09/21/18 C79,TD CN 09/21/18 C79,-5,0.48,-4500,
TD CN 08/08/18 C77.5,TD CN 08/08/18 C77.5,-4,0.37,-4000,
ZEB CN 08/17/18 C29.75,ZEB CN 08/17/18 C29.75,-21,0.17,-20000,
BMO CN 08/08/18 C104.5,BMO CN 08/08/18 C104.5,-3,0.22,-3200,
TORONTO-DOMINION BANK,TD,2528,76.88,2441942,2897222
NA CN 09/21/18 C66,NA CN 09/21/18 C66,-4,0.39,-3500,
CM CN 08/08/18 C118,CM CN 08/08/18 C118,-3,0.42,-2700,
ROYAL BANK OF CANADA,RY,1884,100.88,1819743,2754383
NA CN 08/17/18 C66,NA CN 08/17/18 C66,-4,0.09,-3800,
BANK OF NOVA SCOTIA,BNS,2374,76.58,2293068,2076281
NATIONAL BANK OF CANADA,NA,3022,63.59,2919274,2077303
RY CN 08/17/18 C103,RY CN 08/17/18 C103,-3,0.15,-3300,
TD CN 08/17/18 C78,TD CN 08/17/18 C78,-4,0.22,-4100,
4ZEB CN 08/24/18 C30.25,4ZEB CN 08/24/18 C30.25,-21,0.10,-20000,
RY CN 08/08/18 C102,RY CN 08/08/18 C102,-3,0.32,-2600,
BANK OF MONTREAL,BMO,1956,103.86,1889370,2076009
4ZEB CN 07/27/18 C30,4ZEB CN 07/27/18 C30,-21,0.21,-20000,

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZWC,JH284,BMO CANADIAN HIGH DIVIDEND COVERED CALL ETF,18010000,19.7692,0.018,0,1.30355,0.65,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
METRO INC,MRU,944,42.95,170053,2583952
NTR CN 09/21/18 C74,NTR CN 09/21/18 C74,-5,0.22,-930,
CM CN 08/17/18 C118,CM CN 08/17/18 C118,-3,0.66,-600,
PPL CN 08/17/18 C48,PPL CN 08/17/18 C48,-10,0.15,-1800,
CANADIAN NATIONAL RAILWAY CO,CNR,595,116.74,107223,2180632
CANADIAN NATURAL RESOURCES LTD,CNQ,1025,47.06,184686,2171573
BCE INC,BCE,1471,54.82,264892,B188TH2
NA CN 08/17/18 C65,NA CN 08/17/18 C65,-4,0.16,-800,
IMO CN 08/17/18 C45,IMO CN 08/17/18 C45,-3,0.24,-600,
POWER CORPORATION OF CANADA,POW,2151,29.77,387333,2697701
CNQ CN 08/17/18 C50,CNQ CN 08/17/18 C50,-6,0.22,-1000,
CNR CN 08/17/18 C115,CNR CN 08/17/18 C115,-3,2.80,-560,
FTS CN 08/17/18 C42,FTS CN 08/17/18 C42,-8,0.71,-1500,
TRANSCANADA CORP,TRP,1156,58.29,208151,2665184
L CN 08/17/18 C70,L CN 08/17/18 C70,-3,0.22,-550,
TRI CN 08/17/18 C58,TRI CN 08/17/18 C58,-5,0.19,-900,
CANADIAN IMPERIAL BANK OF COMMERCE,CM,594,117.32,107018,2170525
THOMSON REUTERS CORP,TRI,917,54.78,165164,2889371
MAGNA INTERNATIONAL INC,MG,759,76.52,136677,2554475
GWO CN 08/17/18 C34,GWO CN 08/17/18 C34,-5,0.05,-920,
PEMBINA PIPELINE CORP,PPL,1661,46.22,299089,B4PT2P8
OTEX CN 08/17/18 C50,OTEX CN 08/17/18 C50,-3,0.90,-500,
CIX CN 08/17/18 C26,CIX CN 08/17/18 C26,-8,0.05,-1500,
TRP CN 09/21/18 C62,TRP CN 09/21/18 C62,-6,0.28,-1100,
VET CN 08/17/18 C50,VET CN 08/17/18 C50,-9,0.20,-1600,
ROYAL BANK OF CANADA,RY,558,100.88,100420,2754383
CIX CN 08/17/18 C24,CIX CN 08/17/18 C24,-8,0.09,-1500,
TELUS CORP,T,1486,47.02,267599,2381093
MANULIFE FINANCIAL CORP,MFC,2122,23.89,382124,2492519
QSR CN 08/17/18 C84,QSR CN 08/17/18 C84,-2,1.70,-280,
OPEN TEXT CORP,OTEX,538,49.48,96949,2260824
ROGERS COMMUNICATIONS INC,RCI/B,739,64.76,133021,2169051
RY CN 08/17/18 C103,RY CN 08/17/18 C103,-3,0.15,-500,
SHAW COMMUNICATIONS INC,SJR/B,2428,26.31,437346,2801836
TD CN 08/17/18 C78,TD CN 08/17/18 C78,-3,0.22,-610,
SAP CN 08/17/18 C46,SAP CN 08/17/18 C46,-3,0.09,-530,
EMA CN 09/21/18 C43.5,EMA CN 09/21/18 C43.5,-9,0.24,-1600,
GREAT-WEST LIFECO INC,GWO,2056,32.52,370251,2384951
BANK OF MONTREAL,BMO,547,103.86,98512,2076009
SAPUTO INC,SAP,539,43.07,96988,2112226
LOBLAW COMPANIES LTD,L,576,68.53,103755,2521800
T CN 08/17/18 C48,T CN 08/17/18 C48,-8,0.15,-1400,
CI FINANCIAL CORP,CIX,3039,23.11,547246,B3KT0S5
SLF CN 08/17/18 C55,SLF CN 08/17/18 C55,-5,0.21,-900,
BCE CN 08/17/18 C56,BCE CN 08/17/18 C56,-7,0.18,-1350,
MRU CN 08/17/18 C44.5,MRU CN 08/17/18 C44.5,-5,0.15,-900,
VERMILION ENERGY INC,VET,1634,47.62,294262,B607XS1
SUN LIFE FINANCIAL INC,SLF,927,53.35,166888,2566124
IMPERIAL OIL LTD,IMO,605,43.33,108960,2454241
SJR CN 09/21/18 C28,SJR CN 09/21/18 C28,-12,0.14,-2100,
RCI CN 08/17/18 C68,RCI CN 08/17/18 C68,-4,0.09,-700,
POW CN 08/17/18 C30.5,POW CN 08/17/18 C30.5,-11,0.10,-1980,
MFC CN 09/21/18 C25,MFC CN 09/21/18 C25,-12,0.15,-2100,
4BNS CN 07/27/18 C76.5,4BNS CN 07/27/18 C76.5,-4,0.11,-800,
ENB CN 08/17/18 C48,ENB CN 08/17/18 C48,-9,0.12,-1600,
GWO CN 09/21/18 C33.5,GWO CN 09/21/18 C33.5,-6,0.19,-1000,
TORONTO-DOMINION BANK,TD,700,76.88,126153,2897222
RESTAURANT BRANDS INTERNATIONAL INC,QSR,287,84.00,51704,BTF8CF0
EMERA INC,EMA,1599,42.34,288033,2650050
CTC CN 08/17/18 C185,CTC CN 08/17/18 C185,-1,0.75,-250,
2BMO CN 08/10/18 C104.5,2BMO CN 08/10/18 C104.5,-3,0.20,-500,
1SU CN 08/03/18 C57,1SU CN 08/03/18 C57,-4,0.10,-640,
NUTRIEN LTD,NTR,951,69.07,171263,BDRJLN0
BANK OF NOVA SCOTIA,BNS,834,76.58,150149,2076281
FORTIS INC,FTS,1495,42.27,269316,2347200
NATIONAL BANK OF CANADA,NA,921,63.59,165913,2077303
INTER PIPELINE LTD,IPL,2915,24.59,524902,BDD54N3
CANADIAN TIRE CORPORATION LTD,CTC/A,261,176.37,46926,2172286
MG CN 08/17/18 C84,MG CN 08/17/18 C84,-4,0.22,-700,
SUNCOR ENERGY INC,SU,746,53.11,134311,B3NB1P2
ENBRIDGE INC,ENB,1660,45.56,298907,2466149

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZWE,JH278,BMO EUROPE HIGH DIVIDEND COVERED CALL HEDGED TO CAD ETF,49417500,21.16064,0.25008,0,1.30355,0.65,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
BMO Europe High Dividend Covered Call ETF,ZWP,106568,19.62,52663050,BF11396

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
CAD,1028736160.9,99.55373797690582101539403122,1.00000,20180208
CHF,-171878500,-21.882436856444940916042122805,1.31559,20180208
EUR,-352003000,-52.110940206889848341707880301,1.52978,20180208
GBP,-124066000,-20.654782832790959595153800632,1.72034,20180208
SEK,-276482100,-3.9847655523482308013468816898,0.14893,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZWH,JH269,BMO US HIGH DIVIDEND COVERED CALL ETF,32797000,20.63436,0.07127,0,1.30355,0.65,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
GM US 08/17/18 C46,GM US 08/17/18 C46,-3,0.09,-1100,
IBM US 09/21/18 C155,IBM US 09/21/18 C155,-1,0.72,-400,
PPL US 08/17/18 C29,PPL US 08/17/18 C29,-9,0.59,-3400,
BBT US 08/17/18 C55,BBT US 08/17/18 C55,-2,0.04,-700,
OXY US 08/03/18 C89.5,OXY US 08/03/18 C89.5,-2,0.16,-800,
SOUTHERN CO,SO US,1105,61.98,405540,2829601
DOWDUPONT INC,DWDP US,462,88.03,169431,BYP66M4
PFE US 08/17/18 C38,PFE US 08/17/18 C38,-3,0.63,-1200,
WELLS FARGO & CO,WFC US,745,75.91,273481,2649100
PRUDENTIAL FINANCIAL INC,PRU US,532,126.41,195297,2819118
VLO US 08/31/18 C116,VLO US 08/31/18 C116,-1,1.39,-400,
DWDP US 09/21/18 C70,DWDP US 09/21/18 C70,-1,1.60,-400,
CATERPILLAR INC,CAT US,203,183.12,74548,2180201
MET US 09/21/18 C47.5,MET US 09/21/18 C47.5,-3,0.56,-1200,
VENTAS INC,VTR US,1011,75.84,371064,2927925
CVX US 09/21/18 C130,CVX US 09/21/18 C130,-2,1.94,-800,
TGT US 08/24/18 C84,TGT US 08/24/18 C84,-2,1.06,-600,
GM US 08/24/18 C42,GM US 08/24/18 C42,-3,0.12,-1100,
CVS HEALTH CORP,CVS US,682,86.02,250318,2577609
SYSCO CORP,SYY US,486,92.46,178466,2868165
OXY US 08/31/18 C89,OXY US 08/31/18 C89,-1,1.06,-400,
PRU US 08/17/18 C105,PRU US 08/17/18 C105,-3,0.26,-1000,
MET US 08/10/18 C46,MET US 08/10/18 C46,-2,0.37,-900,
PSA US 08/17/18 C230,PSA US 08/17/18 C230,-1,2.09,-400,
SYY US 08/24/18 C73.5,SYY US 08/24/18 C73.5,-1,0.81,-400,
METLIFE INC,MET US,1105,58.29,405515,2573209
MERCK & CO INC,MRK US,715,84.07,262447,2778844
QUALCOMM INC,QCOM US,1006,77.46,369229,2714923
IBM US 08/17/18 C150,IBM US 08/17/18 C150,-1,0.76,-400,
UNITED PARCEL SERVICE INC,UPS US,389,156.69,142950,2517382
UPS US 07/27/18 C122,UPS US 07/27/18 C122,-2,0.22,-700,
ETN US 08/17/18 C82.5,ETN US 08/17/18 C82.5,-1,0.39,-550,
CSCO US 08/24/18 C45.5,CSCO US 08/24/18 C45.5,-4,0.41,-1400,
MSFT US 08/24/18 C111,MSFT US 08/24/18 C111,-1,2.28,-300,
INTC US 08/17/18 C60,INTC US 08/17/18 C60,-1,0.05,-400,
EATON CORP PLC,ETN US,601,102.95,220653,B8KQN82
WFC US 07/27/18 C58,WFC US 07/27/18 C58,-2,0.56,-700,
VERIZON COMMUNICATIONS INC,VZ US,983,66.36,360937,2090571
QCOM US 08/17/18 C65,QCOM US 08/17/18 C65,-3,0.66,-1100,
PPL CORP,PPL US,1802,37.49,661338,2680905
VLO US 08/17/18 C125,VLO US 08/17/18 C125,-1,0.09,-200,
DWDP US 08/10/18 C71.5,DWDP US 08/10/18 C71.5,-1,0.32,-500,
JPM US 08/24/18 C111,JPM US 08/24/18 C111,-2,5.63,-600,
CVS US 08/24/18 C75,CVS US 08/24/18 C75,-2,0.17,-600,
GENERAL MOTORS CO,GM US,1150,49.08,422006,B665KZ5
MCDONALD'S CORP,MCD US,210,207.12,77208,2550707
PROCTER & GAMBLE CO,PG US,721,103.59,264737,2704407
ETN US 08/24/18 C81,ETN US 08/24/18 C81,-2,1.11,-600,
VALERO ENERGY CORP,VLO US,328,142.52,120486,2041364
PFE US 09/21/18 C38,PFE US 09/21/18 C38,-5,0.94,-1700,
INTEL CORP,INTC US,730,68.35,267859,2463247
PG US 09/21/18 C82.5,PG US 09/21/18 C82.5,-2,1.11,-700,
TARGET CORP,TGT US,589,104.27,216119,2259101
WFC US 08/24/18 C56.5,WFC US 08/24/18 C56.5,-2,2.80,-700,
HD US 08/17/18 C210,HD US 08/17/18 C210,-1,1.45,-300,
MSFT US 07/27/18 C107,MSFT US 07/27/18 C107,-1,4.95,-500,
AT&T INC,T US,1397,39.43,512897,2831811
PG US 08/17/18 C80,PG US 08/17/18 C80,-2,1.56,-700,
PFIZER INC,PFE US,1510,49.52,554320,2684703
CHEVRON CORP,CVX US,408,162.81,149923,2838555
INTC US 08/24/18 C55,INTC US 08/24/18 C55,-3,0.78,-1000,
IP US 08/17/18 C57.5,IP US 08/17/18 C57.5,-4,0.17,-1500,
HOME DEPOT INC,HD US,159,262.01,58313,2434209
JPMORGAN CHASE & CO,JPM US,290,150.14,106614,2190385
SO US 08/24/18 C49,SO US 08/24/18 C49,-5,0.35,-1700,
T US 07/27/18 C34.5,T US 07/27/18 C34.5,-1,0.01,-500,
VTR US 08/17/18 C55,VTR US 08/17/18 C55,-3,5.08,-950,
ABBV US 09/21/18 C97.5,ABBV US 09/21/18 C97.5,-3,2.87,-1100,
SO US 08/17/18 C46,SO US 08/17/18 C46,-1,2.36,-400,
ABBVIE INC,ABBV US,575,121.39,211013,B92SR70
CISCO SYSTEMS INC,CSCO US,1012,56.26,371498,2198163
VZ US 08/10/18 C54,VZ US 08/10/18 C54,-4,0.04,-1600,
BBT US 09/21/18 C55,BBT US 09/21/18 C55,-2,0.17,-700,
INTERNATIONAL PAPER CO,IP US,813,69.14,298362,2465254
MCD US 08/24/18 C165,MCD US 08/24/18 C165,-1,1.63,-400,
QCOM US 09/21/18 C67.5,QCOM US 09/21/18 C67.5,-2,0.56,-800,
INTERNATIONAL BUSINESS MACHINES CORP,IBM US,418,191.13,153561,2005973
LOCKHEED MARTIN CORP,LMT US,116,422.82,42521,2522096
CSCO US 08/17/18 C47,CSCO US 08/17/18 C47,-1,0.09,-500,
TGT US 08/17/18 C82.5,TGT US 08/17/18 C82.5,-1,0.80,-500,
OCCIDENTAL PETROLEUM CORP,OXY US,617,109.93,226453,2655408
T US 08/24/18 C33.5,T US 08/24/18 C33.5,-6,0.05,-2100,
MICROSOFT CORP,MSFT US,403,144.47,147918,2588173
PUBLIC STORAGE,PSA US,203,286.35,74360,2852533
MRK US 09/21/18 C65,MRK US 09/21/18 C65,-4,1.89,-1400,
BB&T CORP,BBT US,751,66.06,275615,2830904
VTR US 08/17/18 C60,VTR US 08/17/18 C60,-3,0.59,-1100,
CVS US 08/17/18 C75,CVS US 08/17/18 C75,-2,0.09,-650,
CAT US 09/21/18 C150,CAT US 09/21/18 C150,-1,3.08,-300,
SYY US 08/17/18 C70,SYY US 08/17/18 C70,-1,2.50,-500,

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZWH.U,JH269.U,BMO US HIGH DIVIDEND COVERED CALL ETF,2850000,21.71258,0.06561,0,1.30355,0.65,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
GM US 08/17/18 C46,GM US 08/17/18 C46,-4,0.07,-1100,
IBM US 09/21/18 C155,IBM US 09/21/18 C155,-1,0.55,-400,
PPL US 08/17/18 C29,PPL US 08/17/18 C29,-13,0.45,-3400,
BBT US 08/17/18 C55,BBT US 08/17/18 C55,-3,0.03,-700,
OXY US 08/03/18 C89.5,OXY US 08/03/18 C89.5,-3,0.12,-800,
SOUTHERN CO,SO US,1515,47.55,405540,2829601
DOWDUPONT INC,DWDP US,633,67.53,169431,BYP66M4
PFE US 08/17/18 C38,PFE US 08/17/18 C38,-4,0.48,-1200,
WELLS FARGO & CO,WFC US,1022,58.23,273481,2649100
